ID,pot_type,strat,rep,config,rowcol,row,col,seed,density,taxa,harvest,potnumber
6_high_monoB_Cc.Hm_2_early,Cc.Hm,6,2,monoB,b.3,b,3,0,high,H.matronalis,early,7
6_high_monoB_Cc.Hm_2_early,Cc.Hm,6,2,monoB,b.5,b,5,0,high,H.matronalis,early,7
6_high_monoB_Cc.Hm_2_early,Cc.Hm,6,2,monoB,c.2,c,2,0,high,H.matronalis,early,7
6_high_monoB_Cc.Hm_2_early,Cc.Hm,6,2,monoB,c.4,c,4,0,high,H.matronalis,early,7
6_high_monoB_Cc.Hm_2_early,Cc.Hm,6,2,monoB,c.6,c,6,0,high,H.matronalis,early,7
6_high_monoB_Cc.Hm_2_early,Cc.Hm,6,2,monoB,d.1,d,1,0,high,H.matronalis,early,7
6_high_monoB_Cc.Hm_2_early,Cc.Hm,6,2,monoB,d.3,d,3,0,high,H.matronalis,early,7
6_high_monoB_Cc.Hm_2_early,Cc.Hm,6,2,monoB,d.5,d,5,0,high,H.matronalis,early,7
6_high_monoB_Cc.Hm_2_early,Cc.Hm,6,2,monoB,e.2,e,2,0,high,H.matronalis,early,7
6_high_monoB_Cc.Hm_2_early,Cc.Hm,6,2,monoB,e.4,e,4,0,high,H.matronalis,early,7
6_high_monoB_Cc.Hm_2_early,Cc.Hm,6,2,monoB,e.6,e,6,0,high,H.matronalis,early,7
6_high_monoB_Cc.Hm_2_early,Cc.Hm,6,2,monoB,f.3,f,3,0,high,H.matronalis,early,7
6_high_monoB_Cc.Hm_2_early,Cc.Hm,6,2,monoB,f.5,f,5,0,high,H.matronalis,early,7
6_high_quarterA_Cc.Hm_2_early,Cc.Hm,6,2,quarterA,a.2,a,2,0,high,H.matronalis,early,8
6_high_quarterA_Cc.Hm_2_early,Cc.Hm,6,2,quarterA,a.4,a,4,0,high,H.matronalis,early,8
6_high_quarterA_Cc.Hm_2_early,Cc.Hm,6,2,quarterA,b.1,b,1,0,high,H.matronalis,early,8
6_high_quarterA_Cc.Hm_2_early,Cc.Hm,6,2,quarterA,b.3,b,3,0,high,H.matronalis,early,8
6_high_quarterA_Cc.Hm_2_early,Cc.Hm,6,2,quarterA,b.5,b,5,0,high,H.matronalis,early,8
6_high_quarterA_Cc.Hm_2_early,Cc.Hm,6,2,quarterA,c.2,c,2,1,high,C.canadensis,early,8
6_high_quarterA_Cc.Hm_2_early,Cc.Hm,6,2,quarterA,c.4,c,4,0,high,H.matronalis,early,8
6_high_quarterA_Cc.Hm_2_early,Cc.Hm,6,2,quarterA,c.6,c,6,1,high,C.canadensis,early,8
6_high_quarterA_Cc.Hm_2_early,Cc.Hm,6,2,quarterA,d.1,d,1,0,high,H.matronalis,early,8
6_high_quarterA_Cc.Hm_2_early,Cc.Hm,6,2,quarterA,d.3,d,3,0,high,H.matronalis,early,8
6_high_quarterA_Cc.Hm_2_early,Cc.Hm,6,2,quarterA,d.5,d,5,1,high,C.canadensis,early,8
6_high_quarterA_Cc.Hm_2_early,Cc.Hm,6,2,quarterA,e.2,e,2,0,high,H.matronalis,early,8
6_high_quarterA_Cc.Hm_2_early,Cc.Hm,6,2,quarterA,e.4,e,4,0,high,H.matronalis,early,8
6_high_quarterA_Cc.Hm_2_early,Cc.Hm,6,2,quarterA,e.6,e,6,0,high,H.matronalis,early,8
6_high_quarterA_Cc.Hm_2_early,Cc.Hm,6,2,quarterA,f.3,f,3,0,high,H.matronalis,early,8
6_high_quarterA_Cc.Hm_2_early,Cc.Hm,6,2,quarterA,f.5,f,5,1,high,C.canadensis,early,8
6_high_quarterB_Cc.Hm_2_early,Cc.Hm,6,2,quarterB,a.2,a,2,1,high,C.canadensis,early,9
6_high_quarterB_Cc.Hm_2_early,Cc.Hm,6,2,quarterB,a.4,a,4,1,high,C.canadensis,early,9
6_high_quarterB_Cc.Hm_2_early,Cc.Hm,6,2,quarterB,b.1,b,1,1,high,C.canadensis,early,9
6_high_quarterB_Cc.Hm_2_early,Cc.Hm,6,2,quarterB,b.3,b,3,1,high,C.canadensis,early,9
6_high_quarterB_Cc.Hm_2_early,Cc.Hm,6,2,quarterB,b.5,b,5,1,high,C.canadensis,early,9
6_high_quarterB_Cc.Hm_2_early,Cc.Hm,6,2,quarterB,c.2,c,2,1,high,C.canadensis,early,9
6_high_quarterB_Cc.Hm_2_early,Cc.Hm,6,2,quarterB,c.4,c,4,1,high,C.canadensis,early,9
6_high_quarterB_Cc.Hm_2_early,Cc.Hm,6,2,quarterB,c.6,c,6,1,high,C.canadensis,early,9
6_high_quarterB_Cc.Hm_2_early,Cc.Hm,6,2,quarterB,d.1,d,1,1,high,C.canadensis,early,9
6_high_quarterB_Cc.Hm_2_early,Cc.Hm,6,2,quarterB,d.3,d,3,1,high,C.canadensis,early,9
6_high_quarterB_Cc.Hm_2_early,Cc.Hm,6,2,quarterB,d.5,d,5,0,high,H.matronalis,early,9
6_high_quarterB_Cc.Hm_2_early,Cc.Hm,6,2,quarterB,e.2,e,2,1,high,C.canadensis,early,9
6_high_quarterB_Cc.Hm_2_early,Cc.Hm,6,2,quarterB,e.4,e,4,0,high,H.matronalis,early,9
6_high_quarterB_Cc.Hm_2_early,Cc.Hm,6,2,quarterB,e.6,e,6,0,high,H.matronalis,early,9
6_high_quarterB_Cc.Hm_2_early,Cc.Hm,6,2,quarterB,f.3,f,3,1,high,C.canadensis,early,9
6_high_quarterB_Cc.Hm_2_early,Cc.Hm,6,2,quarterB,f.5,f,5,0,high,H.matronalis,early,9
6_high_even_Cc.Hm_2_early,Cc.Hm,6,2,even,a.2,a,2,1,high,C.canadensis,early,10
6_high_even_Cc.Hm_2_early,Cc.Hm,6,2,even,a.4,a,4,1,high,C.canadensis,early,10
6_high_even_Cc.Hm_2_early,Cc.Hm,6,2,even,b.1,b,1,1,high,C.canadensis,early,10
6_high_even_Cc.Hm_2_early,Cc.Hm,6,2,even,b.3,b,3,0,high,H.matronalis,early,10
6_high_even_Cc.Hm_2_early,Cc.Hm,6,2,even,b.5,b,5,0,high,H.matronalis,early,10
6_high_even_Cc.Hm_2_early,Cc.Hm,6,2,even,c.2,c,2,1,high,C.canadensis,early,10
6_high_even_Cc.Hm_2_early,Cc.Hm,6,2,even,c.4,c,4,0,high,H.matronalis,early,10
6_high_even_Cc.Hm_2_early,Cc.Hm,6,2,even,c.6,c,6,1,high,C.canadensis,early,10
6_high_even_Cc.Hm_2_early,Cc.Hm,6,2,even,d.1,d,1,1,high,C.canadensis,early,10
6_high_even_Cc.Hm_2_early,Cc.Hm,6,2,even,d.3,d,3,0,high,H.matronalis,early,10
6_high_even_Cc.Hm_2_early,Cc.Hm,6,2,even,d.5,d,5,1,high,C.canadensis,early,10
6_high_even_Cc.Hm_2_early,Cc.Hm,6,2,even,e.2,e,2,0,high,H.matronalis,early,10
6_high_even_Cc.Hm_2_early,Cc.Hm,6,2,even,e.4,e,4,1,high,C.canadensis,early,10
6_high_even_Cc.Hm_2_early,Cc.Hm,6,2,even,e.6,e,6,0,high,H.matronalis,early,10
6_high_even_Cc.Hm_2_early,Cc.Hm,6,2,even,f.3,f,3,0,high,H.matronalis,early,10
